corpus2 Sotho (official language of South Africa)
corpus2 Setswana (official language of South Africa)
corpus2 Sepedi (official language of South Africa)
corpus2 TshiVenda (official language of South Africa)
corpus2 XiTsonga (official language of South Africa)
corpus2 Afrikaans (official language of South Africa)
corpus2 Ndebele (official language of South Africa)
corpus2 Khwedam (official language of South Africa)
corpus2 Warao (second largest indigenous language in this South American country)
corpus2 Scots
corpus2 Lushai
corpus2 Scottish
corpus2 Fijian
corpus2 Sicilian
corpus2 Armenian
corpus2 Ganda
corpus2 Georgian
corpus2 Azerbaijanian
corpus2 Bashkir
corpus2 Sorbian
corpus2 Gilaki
corpus2 Goan
corpus2 Sundanesian
corpus2 Bicolano
corpus2 Bishnupriya
corpus2 Newari
corpus2 Bosnian
corpus2 Bretonian
corpus2 Tajik
corpus2 Occitan
corpus2 Ossetian
corpus2 Cebuano
corpus2 Pampanga
corpus2 Chuvash
corpus2 Ido
corpus2 Papiamento
corpus2 Corsican
corpus2 Ukrainian
corpus2 Piemontese
corpus2 Venetian
corpus2 Dimli
corpus2 Waray
corpus2 Kiswahili
corpus2 Frisian
corpus2 Kyrgyz
corpus2 Rusyn
corpus2 Yakut
corpus2 Yiddish
corpus2 Esperanto
corpus2 Samogitian
corpus2 Yoruba
